,del_s2w,z_len,absolute_number,desired_vel_class,enhancement_successes,enhancement_desired_molecules,enhancement_number_successes_1m,enhancement_desired_molecules_1m,enhancement_number_successes_p15m,enhancement_desired_molecules_p15m,mean_velocity,mean_velocity_reduction
0,0.5,250,184,0,0.1284019539427774,,1.1572327044025157,,0.01807643186953532,,131.9990343124288,1.0330153884497637
1,0.5,500,1,0,0.0017889087656529517,,0.006289308176100629,,9.824147755182238e-05,,133.1596446798443,1.0420982455765575
2,0.5,750,0,0,0.0,,0.0,,0.0,,,
3,0.5,1000,0,0,0.0,,0.0,,0.0,,,
4,0.5,1250,0,0,0.0,,0.0,,0.0,,,
5,0.5,1500,0,0,0.0,,0.0,,0.0,,,
6,1.5,250,717,0,0.5003489183531054,,4.509433962264151,,0.07043913940465664,,119.20749085027312,0.932909646712632
7,1.5,500,137,0,0.24508050089445438,,0.8616352201257862,,0.013459082424599665,,107.13026913982675,0.8383941380076114
8,1.5,750,45,0,0.15517241379310345,,0.2830188679245283,,0.004420866489832007,,91.19015712471895,0.7136479147417274
9,1.5,1000,15,0,0.09433962264150944,,0.09433962264150944,,0.0014736221632773356,,87.85126680377178,0.6875179881111988
10,1.5,1250,1,0,0.009523809523809525,,0.006289308176100629,,9.824147755182238e-05,,82.78340392951294,0.6478572408721586
11,1.5,1500,0,0,0.0,,0.0,,0.0,,,
12,2.5,250,2265,1,1.5806001395673412,inf,14.245283018867925,inf,0.2225169466548777,inf,110.64980816091692,0.8659378089744014
13,2.5,500,1299,2,2.323792486583184,inf,8.169811320754716,inf,0.12761567933981727,inf,95.4971360944271,0.7473540367343117
14,2.5,750,749,6,2.5827586206896553,inf,4.710691823899371,inf,0.07358286668631496,inf,85.01438006370499,0.6653167070712045
15,2.5,1000,369,1,2.3207547169811322,inf,2.3207547169811322,inf,0.036251105216622455,inf,79.62413666920087,0.6231330319934532
16,2.5,1250,139,0,1.3238095238095238,,0.8742138364779874,,0.01365556537970331,,79.49922618453408,0.6221554911083123
17,2.5,1500,60,0,0.8571428571428571,,0.37735849056603776,,0.0058944886531093425,,74.56654464297671,0.5835526637066343
18,3.5,250,3473,1,2.4235868806699234,inf,21.842767295597483,inf,0.34119265153747913,inf,113.24544760209068,0.8862511052008964
19,3.5,500,2486,1,4.447227191413238,inf,15.635220125786164,inf,0.24422831319383043,inf,99.44833933785488,0.7782758822963983
20,3.5,750,1704,3,5.875862068965517,inf,10.716981132075471,inf,0.16740347774830533,inf,89.47563549918543,0.7002301861027894
21,3.5,1000,1012,1,6.364779874213837,inf,6.364779874213837,inf,0.09942037528244425,inf,83.85880623845054,0.6562732655778966
22,3.5,1250,543,3,5.171428571428572,inf,3.4150943396226414,inf,0.05334512231063955,inf,80.49520049563901,0.6299499177511378
23,3.5,1500,283,0,4.042857142857143,,1.779874213836478,,0.027802338147165734,,78.32225974320963,0.612944632469003
24,4.5,250,4231,0,2.952547103977669,,26.61006289308176,,0.41565969152176047,,114.46368332949442,0.8957849344423188
25,4.5,500,3288,2,5.8819320214669055,inf,20.67924528301887,inf,0.32301797819039196,inf,101.42953234000882,0.7937805628372415
26,4.5,750,2478,0,8.544827586206896,,15.584905660377359,,0.24344238137341587,,92.64015449440262,0.7249954946986353
27,4.5,1000,1713,3,10.773584905660377,inf,10.773584905660377,inf,0.16828765104627175,inf,86.61574704506461,0.6778488952263422
28,4.5,1250,1098,0,10.457142857142857,,6.90566037735849,,0.10786914235190097,,83.33973327439618,0.6522110361654659
29,4.5,1500,631,0,9.014285714285714,,3.9685534591194966,,0.06199037233519992,,82.89304005907516,0.6487152457019498
30,5.5,250,4839,0,3.3768318213538033,,30.433962264150942,,0.4753905098732685,,116.85443480079279,0.914494791470247
31,5.5,500,3940,2,7.04830053667263,inf,24.77987421383648,inf,0.3870714215541802,inf,105.78730953474798,0.8278842282545659
32,5.5,750,3275,0,11.293103448275861,,20.59748427672956,,0.3217408389822183,,96.2068741954841,0.7529083984308196
33,5.5,1000,2469,3,15.528301886792454,inf,15.528301886792454,inf,0.24255820807544945,inf,89.15192735422062,0.6976968683640877
34,5.5,1250,1736,0,16.533333333333335,,10.918238993710691,,0.17054720502996365,,85.20563882353515,0.6668134850068123
35,5.5,1500,1153,0,16.47142857142857,,7.251572327044025,,0.1132724236172512,,83.20018880379001,0.651118970710138
36,6.5,250,5264,0,3.6734124214933708,,33.106918238993714,,0.517143137832793,,117.45613015785807,0.919203618063145
37,6.5,500,4395,0,7.862254025044723,,27.641509433962263,,0.43177129384025936,,107.51525380418963,0.8414070015840427
38,6.5,750,3717,1,12.817241379310344,inf,23.37735849056604,inf,0.3651635720601238,inf,98.2710889174163,0.7690628012560206
39,6.5,1000,3031,2,19.062893081761008,inf,19.062893081761008,inf,0.2977699184595736,inf,93.52298372664353,0.7319044557151196
40,6.5,1250,2377,0,22.63809523809524,,14.949685534591195,,0.2335199921406818,,91.27805876229186,0.7143358269280229
41,6.5,1500,1777,0,25.385714285714286,,11.176100628930818,,0.17457510560958836,,90.0129410435663,0.704435102438246
