,del_s2w,z_len,absolute_number,desired_vel_class,enhancement_successes,enhancement_desired_molecules,enhancement_number_successes_1m,enhancement_desired_molecules_1m,enhancement_number_successes_p15m,enhancement_desired_molecules_p15m,mean_velocity,mean_velocity_reduction
0,0.5,250,175,0,0.03585330874820734,,0.28,,0.005107103251036012,0.0,135.97368609793043,1.0695443804535536
1,0.5,500,5,0,0.002653927813163482,,0.008,,0.00014591723574388607,0.0,144.73398685738658,1.1384513191211665
2,0.5,750,1,0,0.0009832841691248771,,0.0016,,2.9183447148777215e-05,0.0,173.31011867965648,1.3632259948889212
3,0.5,1000,0,0,0.0,,0.0,,0.0,0.0,,
4,0.5,1250,0,0,0.0,,0.0,,0.0,0.0,,
5,0.5,1500,0,0,0.0,,0.0,,0.0,0.0,,
6,1.5,250,1392,0,0.28518746158574065,,2.2272,,0.04062335843109788,0.0,119.90385061263179,0.9431419659030235
7,1.5,500,319,1,0.16932059447983014,inf,0.5104,inf,0.00930951964045993,0.2,106.71761818349925,0.8394214505690808
8,1.5,750,114,0,0.11209439528023599,,0.1824,,0.0033269129749606023,0.0,99.04118712064714,0.7790400345699631
9,1.5,1000,45,0,0.072,,0.072,,0.0013132551216949746,0.0,89.56109942658226,0.7044713822787291
10,1.5,1250,7,0,0.016355140186915886,,0.0112,,0.0002042841300414405,0.0,91.08264124524008,0.716439554566112
11,1.5,1500,1,0,0.003289473684210526,,0.0016,,2.9183447148777215e-05,0.0,134.5936293211424,1.0586891038726318
12,2.5,250,5552,3,1.1374718295431263,inf,8.8832,inf,0.16202649857001108,0.6,113.17436211764739,0.8902090285848894
13,2.5,500,3543,1,1.8805732484076434,inf,5.6688,inf,0.10339695324811767,0.2,101.24660008755849,0.7963874134123708
14,2.5,750,1918,7,1.8859390363815143,inf,3.0688,inf,0.055973851631354696,1.4,93.78325372152483,0.7376820830338099
15,2.5,1000,970,0,1.552,,1.552,,0.028307943734313896,0.0,88.56459186195721,0.6966330343129574
16,2.5,1250,390,0,0.9112149532710281,,0.624,,0.011381544388023114,0.0,86.38482683949141,0.6794873975549127
17,2.5,1500,149,0,0.4901315789473684,,0.2384,,0.004348333625167805,0.0,89.90635568824483,0.7071871054827882
18,3.5,250,8234,1,1.6869493956156525,inf,13.1744,inf,0.24029650382303158,0.2,115.92296068550114,0.9118290069552146
19,3.5,500,6187,5,3.2839702760084926,inf,9.8992,inf,0.18055798750948462,1.0,105.75624348081757,0.8318594513303248
20,3.5,750,3826,4,3.7620452310717796,inf,6.1216,inf,0.11165586879122162,0.8,97.81670148744976,0.7694084524196554
21,3.5,1000,2266,3,3.6256,inf,3.6256,inf,0.06612969123912917,0.6,93.72603198422912,0.7372319872151208
22,3.5,1250,1224,0,2.8598130841121496,,1.9584,,0.03572053931010331,0.0,90.49450514628337,0.7118133825645088
23,3.5,1500,612,0,2.013157894736842,,0.9792,,0.017860269655051653,0.0,90.30239299964305,0.7103022632240502
24,4.5,250,9317,4,1.9088301577545586,inf,14.9072,inf,0.2719021770851573,0.8,118.09235448359553,0.9288930655413117
25,4.5,500,7441,5,3.949575371549894,inf,11.9056,inf,0.21715403023405125,1.0,108.13566148870639,0.8505755223005167
26,4.5,750,5062,9,4.977384464110128,inf,8.0992,inf,0.14772660946711025,1.8,101.25536343766636,0.7964563443366607
27,4.5,1000,3412,3,5.4592,inf,5.4592,inf,0.09957392167162785,0.6,96.49181736972277,0.7589871539792608
28,4.5,1250,2111,0,4.932242990654205,,3.3776,,0.0616062569310687,0.0,94.07701532814706,0.7399927586106235
29,4.5,1500,1086,0,3.5723684210526314,,1.7376,,0.03169322360357205,0.0,96.1850187087751,0.7565739312950502
30,5.5,250,10185,1,2.086662569145667,inf,16.296,inf,0.2972334092102959,0.2,121.30634451070485,0.9541737288150335
31,5.5,500,8552,0,4.53927813163482,,13.6832,,0.24957684001634273,0.0,111.98580344246885,0.8808600413774602
32,5.5,750,6494,7,6.385447394296952,inf,10.3904,inf,0.18951730578415923,1.4,104.84850940416045,0.82471937953779
33,5.5,1000,4705,0,7.528,,7.528,,0.1373081188349968,0.0,99.80854208253578,0.7850759096782546
34,5.5,1250,3182,0,7.434579439252336,,5.0912,,0.09286172882740909,0.0,97.23585400305558,0.7648396113397207
35,5.5,1500,1729,0,5.6875,,2.7664,,0.0504581801202358,0.0,99.12932257536046,0.7797332920892118
36,6.5,250,10536,0,2.1585740626920713,,16.8576,,0.3074767991595167,0.0,122.24832431184021,0.9615831712720062
37,6.5,500,9116,0,4.83864118895966,,14.5856,,0.2660363042082531,0.0,113.08458124990372,0.8895028285448439
38,6.5,750,7013,7,6.895771878072763,inf,11.2208,inf,0.2046635148543746,1.4,106.63191845613675,0.8387473520398921
39,6.5,1000,5559,0,8.8944,,8.8944,,0.16223078270005253,0.0,102.86292219208035,0.8091011102569879
40,6.5,1250,4245,0,9.91822429906542,,6.792,,0.12388373314655927,0.0,101.05979852693682,0.7949180661794145
41,6.5,1500,2590,0,8.519736842105264,,4.144,,0.07558512811533298,0.0,103.55388157889152,0.814536071612329
