l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11
0.1,54,50,47,50,68,50,59,67,44,50,46,46
0.15555555555555556,56,54,55,58,55,52,61,49,51,56,57,50
0.2111111111111111,51,54,46,48,54,57,57,60,43,57,50,45
0.26666666666666666,54,56,55,54,54,53,49,65,51,58,49,48
0.3222222222222222,45,57,61,53,49,48,48,48,58,67,46,48
0.37777777777777777,50,51,47,60,56,62,51,58,55,62,61,51
0.43333333333333335,62,58,53,55,51,59,55,58,58,58,48,52
0.48888888888888893,53,44,45,57,54,46,62,61,48,50,64,59
0.5444444444444445,50,44,53,53,58,56,57,51,53,54,55,44
