l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,mean
0.1,36,26,35,20,28,24,25,30,33,28,28.5
0.126,28,20,28,20,30,17,30,23,24,19,23.9
0.152,29,25,25,18,25,28,27,24,15,30,24.6
0.178,25,27,25,23,18,25,23,24,29,33,25.2
0.204,24,24,33,24,31,24,20,21,25,24,25
0.23,28,27,29,35,25,18,23,25,20,20,25
0.256,33,24,20,23,30,14,27,26,25,26,24.8
0.282,25,24,18,29,39,31,27,25,22,25,26.5
0.308,28,28,31,25,25,25,38,22,18,22,26.2
