,mol_index,v_zi,v_zf
4098,599169.0,109.18366807420345,99.48128943314295
4099,599321.0,140.42036255710255,140.43324048772368
4100,599395.0,99.75429842764846,94.57433152435877
4101,599627.0,151.92786380101512,151.7118699920834
4102,599754.0,165.73319746829316,163.01649457697872
4103,599909.0,179.73309515806886,179.91121926963535
4104,599930.0,101.50258914701064,97.20231042558292
4105,599955.0,92.81130405058664,92.65764486150282
4106,600146.0,122.82538216257807,118.51498888812057
4107,600427.0,138.77923238859583,135.06780714872943
4108,600431.0,133.70295064725914,140.0811782851346
4109,600709.0,90.80917113799809,78.91919328968211
4110,600782.0,153.37291553224657,157.06266985210843
4111,601385.0,148.18496053743905,148.15721948016133
4112,601431.0,68.14377112795398,75.61607005400182
4113,601532.0,165.64855826536797,168.57946139777056
4114,601542.0,176.2827518807852,173.4799168369444
4115,601649.0,156.44756730184218,156.45052835329352
4116,601733.0,123.72486562930531,123.74524400487223
4117,602155.0,118.14866953704886,113.67382338387452
4118,602288.0,71.10102499567029,63.407150073878
4119,602341.0,66.46447848842519,58.66639882402763
4120,602447.0,113.28931324889919,117.61148518241366
4121,602641.0,183.74776976798893,183.7499322321276
4122,603113.0,130.78342128380274,126.74747602900534
4123,603518.0,106.33767635245708,115.48833420981968
4124,603576.0,129.7836292140529,129.92362139575457
4125,603739.0,74.6997957248028,67.42638103410415
4126,603810.0,112.4210633371668,103.0912931614558
4127,603814.0,137.19097089299262,140.72602360749366
4128,603941.0,111.99434971013264,112.05702400359375
4129,604021.0,126.61459478338247,130.38699848262405
4130,604100.0,129.01330327659483,136.59102950944634
4131,604194.0,109.96723537574347,105.45321203561335
4132,604329.0,118.21331066394634,126.45618289325768
4133,604643.0,110.49013309100185,114.8690822382919
4134,604921.0,66.46987976949596,73.85039003348561
4135,605052.0,114.56152407045033,123.11226112835921
4136,605450.0,119.13033640143846,119.14519144770145
4137,605488.0,107.35210287308875,111.79475679024647
4138,605558.0,105.44857503794462,100.688998918569
4139,605709.0,103.9872183061768,108.65327483657765
4140,605769.0,48.481961228081275,36.21786253516747
4141,605783.0,177.84078292248776,180.74841725168224
4142,605936.0,139.02444137174265,142.84396516131542
4143,606181.0,98.23781256117584,93.30074265943946
4144,606652.0,142.30977321053797,145.90539502114447
4145,606660.0,114.47068594669477,110.13583096761073
4146,606893.0,175.14194538564095,175.12534489635604
4147,607010.0,68.0356630363151,52.48818499099755
4148,607048.0,144.62598445235716,148.02073126696374
4149,607145.0,136.7271096265971,136.9938071901638
4150,607228.0,91.97123541148989,80.26499583208836
4151,607251.0,156.5938302233346,156.59238419692406
4152,607327.0,114.00537033176063,122.52891812641249
4153,607341.0,59.824577991870264,50.42801531533121
4154,607469.0,175.60635532368934,172.62010657232594
4155,607510.0,146.04520831992124,145.89374916913147
4156,607562.0,216.8883027186456,216.89187895912846
4157,607614.0,148.70627482051316,152.10285277061845
4158,607670.0,96.08442279217495,85.30167804774618
4159,607974.0,107.06054634053619,102.4388702895033
4160,608151.0,68.24134245670092,81.66061800571863
4161,608162.0,150.2386110752093,150.3052620293844
4162,608235.0,71.00817423501668,83.91586677251989
4163,608502.0,105.43044786689114,109.94743765406933
4164,608540.0,132.1156289397052,128.36908170683134
4165,609131.0,116.4929953048672,112.20593711494757
4166,609208.0,149.84278827188606,142.94772868853642
4167,609449.0,174.70534699858985,174.53217980479005
4168,609829.0,135.896827329159,131.99312978713172
4169,610069.0,111.15973840534565,106.33105657583307
4170,610081.0,155.1704266647532,155.1721849076908
4171,610604.0,149.8543690064644,150.0226967686898
4172,610632.0,102.37946726596998,97.14898436180839
4173,610706.0,117.36898346647139,108.42715522928023
4174,610719.0,52.18229272041205,61.04983587119888
