l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,mean 
0.1,32,23,27,22,15,19,18,18,23,15,21.2
0.126,19,17,29,15,15,18,19,17,23,16,18.8
0.152,17,14,12,10,17,12,15,21,6,12,13.6
0.178,13,9,11,12,14,15,13,10,11,5,11.3
0.204,16,10,7,4,5,6,5,5,10,12,8
0.23,9,5,3,3,7,4,5,5,6,4,5.1
0.256,1,3,6,7,5,3,4,4,4,6,4.3
0.282,11,4,7,5,3,3,6,3,3,3,4.8
0.308,8,4,1,0,2,1,2,2,2,2,2.4
0.334,2,3,4,2,0,3,1,3,2,3,2.3
