l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11
0.2,38,38,37,34,36,39,38,44,38,37,33,44
0.25555555555555554,34,39,43,39,37,31,36,33,51,46,40,37
0.3111111111111111,40,35,40,31,38,43,42,37,36,37,38,40
0.3666666666666667,34,38,31,31,40,39,44,32,35,31,38,41
0.42222222222222217,41,36,36,36,39,43,39,46,34,33,42,32
0.47777777777777775,39,40,37,35,41,41,33,32,31,36,40,39
0.5333333333333333,37,37,33,45,42,41,37,33,22,38,45,33
0.5888888888888889,35,36,31,42,31,42,34,34,36,37,37,41
0.6444444444444445,41,36,39,35,36,48,37,38,32,37,49,37
