,mol_index,v_zi,v_zf
0,60346.0,161.8450788975126,60.289826544871886
1,61725.0,152.19991263693407,33.96622118104608
2,190978.0,160.05895411811497,60.58214990512206
3,193753.0,176.2268294483918,93.17614268326786
4,200695.0,180.82582068920414,100.90442488865774
5,243675.0,157.75898538721054,45.51107784082645
6,254383.0,203.23487214478882,141.85565140088622
7,279747.0,161.34277405140224,65.75825708460124
8,297795.0,179.6126297725187,103.56474294413151
9,396692.0,165.55517801916184,72.94979663182279
10,397194.0,178.3755204641052,100.91897629048141
11,402958.0,157.4279206451095,49.78170704166262
12,634777.0,148.39895815309728,16.785145909668138
13,640191.0,175.78680551621997,100.48858750234557
14,751018.0,170.68619418689525,78.38068264434078
15,812152.0,161.39383569544253,63.36300158985642
16,814859.0,152.76120663514016,24.97763554608878
17,833590.0,154.7638488606072,22.823572603366276
18,895405.0,174.3168554577149,93.53816962466473
19,909499.0,161.8467497071938,67.21602109839945
