l_cell_to_lens_aperture,0,1,2,3,mean
0.05,23,26,38,34,30.25
0.094285714,31,33,32,27,30.75
0.138571429,32,36,32,44,36
0.182857143,25,23,31,33,28
0.227142857,28,23,33,27,27.75
0.271428571,30,24,35,29,29.5
0.315714286,30,25,36,32,30.75
