l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11,mean
0.05,39,34,28,39,27,26,31,24,30,32,43,21,31.16666667
0.0875,22,26,28,26,29,33,29,31,31,26,28,28,28.08333333
0.125,26,27,31,34,26,37,30,34,22,29,29,30,29.58333333
0.1625,28,18,39,34,32,33,27,25,26,22,32,23,28.25
0.2,28,27,36,26,27,33,24,33,35,31,28,33,30.08333333
0.2375,29,26,34,30,25,38,31,30,25,32,32,32,30.33333333
0.275,38,33,21,28,36,27,23,26,33,37,33,31,30.5
0.3125,33,31,24,30,26,39,35,33,31,22,28,29,30.08333333
0.35,24,29,29,32,24,23,33,21,18,26,28,32,26.58333333
0.3875,41,35,23,30,28,29,27,31,28,31,30,35,30.66666667
0.425,34,30,21,37,31,28,27,31,22,29,28,37,29.58333333
0.4625,39,20,21,28,26,37,31,29,21,26,35,33,28.83333333
