l_cell_to_lens_aperture,0,1,2,3,mean
0.05,31,32,35,38,34
0.114285714,30,27,32,28,29.25
0.178571429,30,30,41,31,33
0.242857143,28,31,31,31,30.25
0.307142857,31,32,22,31,29
0.371428571,31,28,33,30,30.5
0.435714286,22,31,34,30,29.25
