l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11
0.30000000000000004,50,44,41,43,43,45,41,47,43,43,47,48
0.3555555555555555,47,52,42,49,39,37,47,47,50,46,47,42
0.4111111111111111,44,42,53,40,42,45,40,46,43,41,46,40
0.4666666666666667,50,40,40,50,48,42,36,42,44,54,43,46
0.5222222222222223,53,45,39,44,40,40,42,47,49,48,55,44
0.5777777777777778,40,45,45,41,47,48,42,43,47,55,43,41
0.6333333333333334,35,43,46,40,41,46,43,51,49,49,45,47
0.688888888888889,46,49,45,44,46,40,37,46,47,46,41,43
0.7444444444444446,42,40,41,39,49,41,38,44,43,47,30,36
